Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,2,1,1,"C Programming, Digital Signal Processing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, Adobe Photoshop, C++ Programming, Computer Vision, Data Science, Deep Learning, GNU Octave, Image Processing, MATLAB, Natural Language Processing (NLP)",24,B.Tech,Electronics and Communication,2024,,,,,100.0
,2,0,0,0,"C Programming, C++ Programming, MS-PowerPoint, Mathematics, MySQL, Python, Data Science",24,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,,8.91/10,81.00/81.00,9.00/9.00,75.0
,2,2,2,2,"Algorithms, Android, Artificial Intelligence, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Flutter, Golang, Java, Machine Learning, Natural Language Processing (NLP), Python, BIG DATA ANALYTICS, Cloud Firestore, Firebase, iOS",8,Bachelor of Technology (B.Tech),Computer Science & Engineering,2025,,9.23/10,,,75.0
,2,2,1,2,"HTML, Adobe Photoshop, Algorithms, Artificial intelligence, CSS, Deep Learning, JavaScript, MS SQL Server, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Photography, Python, Video Editing, C Programming, Django, MATLAB, MongoDB, Natural Language Processing (NLP), R Programming",24,Bachelor of Technology (B.Tech),Computer Science & Engineering (AI & ML),2024,,,84.20/84.20,,75.0
,2,1,0,0,"SQL, Data Analytics, Gitlab, MS SQL Server, MS-Excel, Power BI, Python, Tableau, Data Science, Machine Learning",24,Bachelor of Engineering (B.E),Information Technology,2024,,,,,75.0
,2,2,0,0,"ArcGIS, C++ Programming, Computer Vision, Data Analytics, MS-Excel, Machine Learning, OpenCV, Python, Economics, Power BI, SQL",24,Integrated B.Tech & M.Tech,,2026,,,,,87.5
,2,2,0,0,"MS-Office, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Statistics, Power BI, SQLite",24,B.Tech,Electronics and Telecommunication Engineering (ETE),2015,,,,,75.0
,2,2,2,2,"Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, SQL, Statistics",24,Bachelor of Science (B.Sc) (Hons.),Science,2022,,85.00/100,8.10/8.10,,75.0
,3,2,1,2,"C Programming, LaTeX, Neural Networks, Python, Computer Vision, Data Structures, Deep Learning, Git, Image Processing, MATLAB, Machine Learning, OpenCV, SQL, Data Science, Docker, Flask, Natural Language Processing (NLP), REST API",24,B.Tech (Hons.),Electronics Engineering,2023,,9.30/10,90.15/90.15,89.20/89.20,100.0
,2,2,2,2,"Data Analytics, Computer Vision, Data Science, Deep Learning, MS-Excel, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistics, Tableau, .NET, Amazon Web Services (AWS), Image Processing, OpenCV, Power BI",24,Bachelor of Engineering (B.E),,2019,,,,,100.0
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, Flask, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",24,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science,2023,,8.09/10,,52.00/52.00,75.0
,2,2,0,1,"Artificial Intelligence, C Programming, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Java, Machine Learning, Python, SQL, Blogging, Database Management System (DBMS), Deep Learning, Search Engine Optimization (SEO)",24,Bachelor of Technology (B.Tech),CSE AIML,2024,,9.00/10,,,87.5
,3,3,2,3,"Data Analytics, Deep Learning, Machine Learning, Python, Artificial intelligence, Business Analysis, Data Science, Java, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, SQL, SAS",24,B.Tech (Hons.),Machine Learning,2023,,7.50/10,80.00/80.00,9.00/9.00,100.0
,2,2,1,0,"MS-Excel, Business Analysis, Data Analytics, Data Science, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP)",24,B.Tech,Mechanical Engineering,2017,,,,,75.0
,2,2,0,1,"CSS, HTML, C Programming, C++ Programming, Image Processing, MATLAB, Machine Learning, MySQL, Python, ReactJS, Tailwind CSS, Computer Vision, Deep Learning, MS-Excel, PHP",24,B.Tech (Hons.),Computer Science & Engineering,2023,,8.97/10,79.90/79.90,9.40/9.40,75.0
,3,0,0,0,"BIG DATA ANALYTICS, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Python, C++ Programming, Data Science, Hadoop, SQL, MATLAB",24,B.Tech,Computer Science And Engineering (Data Science),2025,,,,,75.0
,1,1,0,0,"C++ Programming, Data Science, Google Analytics, Machine Learning, Python, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Statistics",24,Master of Computer Applications (MCA),computer science,2006,,74.00/100,62.00/62.00,,100.0
,1,1,0,1,"C Programming, C++ Programming, CSS, HTML, Data Science, Deep Learning, JavaScript, Machine Learning, PHP, Python, SQL",24,Bachelor of Technology (B.Tech),Compuer Science And Information Technology,2024,,8.60/10,89.20/89.20,78.80/78.80,100.0
,2,2,0,0,"Artificial intelligence, C++ Programming, Cloud Computing, Data Analytics, Machine Learning, MySQL, Python, REST API",24,,,0,,,91.25/91.25,89.00/89.00,87.5
,1,1,1,1,"MS-Excel, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Selenium",24,PG Diploma in Data Science,"Machine Learning ,NLP And Deep Learning",2023,,,,,75.0
,2,2,2,2,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Docker, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL",24,B.Tech,MlAI,2023,,8.00/10,6.26/6.26,8.20/8.20,75.0
,2,2,0,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, SQL",24,B.Tech,,2023,8.12/10,,94.10/94.10,10.00/10.00,75.0
,1,2,1,0,"Computer Vision, Data Science, Data Structures, Java, MS-Excel, Machine Learning, SQL, Data Analytics, Natural Language Processing (NLP), Python",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,,8.40/10,89.16/89.16,,75.0
,3,2,2,2,"Data Science, MS-Excel, Python, R Programming, C Programming, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, MS-Office, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, SQL, Financial Modeling",24,Bachelor of Technology (B.Tech),Data Analytics,2023,,4.00/4,89.00/89.00,10.00/10.00,100.0
,3,0,0,0,"Data Science, Python, C++ Programming, Cloud Computing, SQL",24,Bachelor of Engineering (B.E),Computer Science,2023,,,87.40/87.40,9.60/9.60,75.0
,1,1,0,0,"Adobe Photoshop, Data Science, Digital Marketing, English Proficiency (Written), MS-Excel, MS-Word, Artificial intelligence, Machine Learning, Python",24,B.Tech,Computer Science & Engineering In AIML,2024,,8.59/10,88.00/88.00,83.00/83.00,75.0
,2,2,0,2,"R Programming, C++ Programming, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Neural Networks, PHP, Python",24,Bachelor of Science (B.Sc) (Hons.),computer science,2023,,9.79/10,94.40/94.40,91.00/91.00,100.0
,2,2,1,1,"Arduino, CSS, Data Science, Data Structures, Embedded Systems, HTML, Internet of Things (IoT), Java, MEAN/MERN Stack, Machine Learning, MySQL, Postman, Python, REST API, ReactJS, SQL, Bootstrap, Deep Learning, Flask, Git, GitHub, JavaScript, MS-Excel, MongoDB, Natural Language Processing (NLP), Node.js, PCB Design, Redux",24,Bachelor of Technology (B.Tech),Electronics and Communication,2023,,7.87/10,92.80/92.80,10.00/10.00,75.0
,2,0,0,0,"English Proficiency (Spoken), MS-Word, Online Teaching, Blogging, British English, Client Interaction, Computer Networks, Copywriting, Creative Writing, English Proficiency (Written), HTML, MS-Excel, Mathematics, Python, Subject Matter Expert (SME), Transcription, Translation, C Programming, C++ Programming, CSS, Data Science, Java, JavaScript, PHP, Teaching",24,B.Tech (Hons.),Computer Science & Engineering,2024,,,6.80/6.80,9.20/9.20,75.0
,2,1,0,1,"CSS, Data Structures, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-PowerPoint, Python, Teaching, Apache, Bootstrap, Data Science, Database Management System (DBMS), Deep Learning, Design Thinking, Java, JavaScript, Machine Learning, MySQL, PHP, SQL",24,Bachelor of Technology (B.Tech),Computer Science & Engineering ( Machine Learning),2025,,,83.00/83.00,82.00/82.00,75.0
,3,1,1,2,"C Programming, English Proficiency (Written), Python, .NET, Algorithms, CSS, Computer Vision, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Java, JavaScript, MATLAB, R Programming, Artificial Intelligence, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks",24,B.Tech,Computer Science & Engineering,2025,8.00/8,,,,100.0
,2,2,0,1,"English Proficiency (Written), ArcGIS, Artificial intelligence, C Programming, C++ Programming, Data Analytics, Data Science, Database Management System (DBMS), Java, Machine Learning, MongoDB, Neural Networks, Python, SQL, Deep Learning, GNU Octave, Image Processing, MySQL, NoSQL, R Programming, Video Editing",24,Master of Science (M.Sc),Data Science With Business And Management,2022,9.00/10,9.20/10,83.00/83.00,79.00/79.00,100.0
,2,2,0,0,"C Programming, Data Analytics, Data Science, Java, JavaScript, Machine Learning, Node.js, Python, ReactJS, BIG DATA ANALYTICS, Django, Neural Networks, PHP",24,Bachelor of Engineering (B.E),Information Technology,2024,,9.20/10,96.00/96.00,,100.0
,3,3,2,3,"Data Analytics, Data Science, Deep Learning, JavaScript, Machine Learning, Power BI, Python, SQL, .NET, Artificial Intelligence, Computer Vision, Django, Natural Language Processing (NLP), R Programming",24,B.Tech,Data Science,2024,8.93/10,,8.70/8.70,,100.0
,1,2,0,0,"C++ Programming, HTML, Java, Machine Learning, MySQL, CSS, JavaScript, Python",24,MCA,,2023,,,76.50/76.50,64.00/64.00,75.0
,2,2,0,2,"Creative Writing, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, SQL, Computer Vision, Data Structures, English Proficiency (Spoken), Image Processing, MySQL, Neural Networks, OpenCV, Tableau",24,Bachelor of Technology (B.Tech),computer science,2023,,8.50/10,9.88/9.88,10.00/10.00,75.0
,2,2,0,2,"MS-Excel, MS-Office, Deep Learning, Machine Learning, Power BI, Python, R Programming, SQL, Tableau, Database Management System (DBMS)",24,Master of Science (M.Sc),Statistics,2023,8.12/10,8.94/10,8.36/8.36,9.00/9.00,87.5
,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), HTML, Business Research, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Java, JavaScript, MS-Excel, Machine Learning, Python, ReactJS, SQL, Tableau, Deep Learning, Flutter, Hadoop, Linux, MongoDB, Natural Language Processing (NLP)",24,B.Tech,Computer Science And Engineering( Data Science),2025,,9.08/10,98.00/98.00,97.20/97.20,100.0
,2,1,0,1,"Arduino, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word, C Programming, C++ Programming, Internet of Things (IoT), Python, SQL, Data Analytics, Data Science, Deep Learning, Embedded Systems, Machine Learning, Power BI, Robotics",24,B.Tech,,2025,,,,,100.0
,2,2,0,1,"Algorithms, Data Structures, Computer Vision, Django, FastAPI, Figma, Firebase, Machine Learning, OpenCV, PostgreSQL, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning",24,B.Tech,Computer Science & Engineering,2025,,,,,75.0
,2,2,2,2,"Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",24,B.Tech,Artificial Intelligence And Data Science,2024,,8.89/10,,,75.0
,2,2,0,0,"C Programming, Data Science, Machine Learning, Python, Flutter, MySQL",24,B.Tech,,2024,,,,,100.0
,3,1,0,0,"Data Analytics, MS-Excel, Power BI, Python, SQL, Data Science, Tableau, Machine Learning",24,Integrated B.E & M.Tech,Mechanical Engineering,2020,,6.94/100,,,75.0
,3,3,0,0,"Data Science, Interpersonal Skills, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, SPSS, SQL, Adobe Photoshop, Data Structures, Power BI, Tableau, PostgreSQL, Search Engine Optimization (SEO)",24,Post Graduate Diploma in Management (P.G.D.M.),Analytics,2023,,7.23/10,,,75.0
,2,2,2,2,"Amazon Web Server (AWS), BIG DATA ANALYTICS, English Proficiency (Written), MS-PowerPoint, MS-Word, MySQL, Neural Networks, Artificial Intelligence, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), GitHub, Hadoop, Java, Linux, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, R Programming, Research and Analytics, SQL, Statistics, Tableau, Data Structures, Power BI",24,,Post Graduate Diploma In Big Data Analytics,2023,,,,,100.0
,2,1,0,1,"Data Analytics, Data Science, Python, SQL, Apache Kafka, Deep Learning, MS-Excel, Machine Learning, ReactJS",24,Bachelor of Science (B.Sc),Computer Science,2023,,9.47/10,69.00/69.00,84.00/84.00,75.0
,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Java, MS-Office, MS-PowerPoint, MySQL, NoSQL, Python, R Programming, Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, Docker, Hadoop, JavaScript, Machine Learning, MongoDB, SQL, Statistical Modeling, Tableau",24,Master of Science (M.Sc),Computer Science,2024,77.40/100,8.04/10,7.90/7.90,8.80/8.80,100.0
,1,1,0,0,"C Programming, C++ Programming, Computer Vision, Machine Learning, Project Management, Python, User Interface (UI) Development",24,B.Tech,Information Technology,2024,,,,,75.0
,3,3,0,0,"Business Analysis, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL, Tableau",24,Bachelor of Computer Applications (BCA),Information Technology,2025,,,,,75.0
,3,3,0,2,"Business Analysis, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Python, R Programming, Statistical Modeling, Statistics, Deep Learning, Hadoop, MATLAB, MS SQL Server, MySQL, Neural Networks, Power BI, SQL, CSS, HTML, Java, JavaScript, PHP, PostgreSQL",22,B.Tech,Artificial Intelligence And Data Science,2025,,9.72/10,,,100.0
,3,2,2,3,"Adobe Photoshop, CSS, Data Analytics, Deep Learning, English Proficiency (Written), HTML, Java, MS-Excel, MySQL, NoSQL, Python, SQL, Tableau, Algorithms, Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Creative Writing, Data Science, Data Structures, Database Management System (DBMS), Effective Communication, English Proficiency (Spoken), Linear Programming, MS-Office, Machine Learning, Mathematics, Natural Language Processing (NLP), Neural Networks, Parallel Thinking, Power BI",24,Bachelor of Technology (B.Tech),Computer Science & Engineering Data Science AI ML,2024,,,87.50/87.50,9.70/9.70,100.0
,2,2,0,0,"Data Analytics, Data Science, Data Structures, MS-Excel, Machine Learning, MySQL, Power BI, Python, SQL, Statistics",24,Bachelor of Science (B.Sc),,2023,8.00/10,,,,75.0
,2,2,0,0,"Data Analytics, Database Management System (DBMS), Machine Learning, MySQL, Python, WordPress, Data Science, Data Structures",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,7.20/10,,,75.0
,1,1,0,0,"C Programming, C++ Programming, Data Structures, Java, CSS, Data Science, HTML, JavaScript, Machine Learning, MySQL, Python",24,Bachelor of Engineering (B.E),Information Technology,2023,,8.75/9,7.30/7.30,9.80/9.80,100.0
,3,2,2,2,"Data Structures, Database Management System (DBMS), Python, SQL, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, Django, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks, Shell Scripting",24,B.Tech,Computer Science & Engineering,2024,,9.44/10,89.80/89.80,,75.0
,2,2,1,1,"Data Science, Machine Learning, MySQL, Python, SQL, Data Analytics, Deep Learning, GitHub, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,,10.00/10,,,75.0
,2,2,0,2,"Algorithms, Artificial Intelligence, C++ Programming, CI/CD, Cloud Firestore, Computer Networks, Computer Vision, Database Management System (DBMS), Deep Learning, Firebase, GitHub, Image Processing, MS-Excel, Machine Learning, Neural Networks, Power BI, Python, SQL, VS Code, XML",24,B.Tech,Electronics and Communication,2024,,7.70/10,9.20/9.20,,87.5
,2,2,0,2,"C Programming, C++ Programming, Computer Vision, Creative Writing, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Image Processing, MS-Excel, MS-Word, Machine Learning, Mathematics, Neural Networks, Python, Research and Analytics",24,B.Tech,computer science,2025,,8.64/10,,,100.0
,2,2,2,2,"Data Analytics, MS-Excel, SQL, Data Science, Data Structures, Deep Learning, Machine Learning, MongoDB, Natural Language Processing (NLP), Python, Tableau, Java",24,B.Tech,Computer Science & Engineering,2023,,7.00/7,9.50/9.50,8.80/8.80,75.0
,3,3,2,3,"Deep Learning, MATLAB, Machine Learning, Python, Arduino, Artificial Intelligence, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), Hadoop, Image Processing, MongoDB, Natural Language Processing (NLP), PostgreSQL, Raspberry Pi, Java",24,B.Tech,AI,2024,,8.13/10,,,87.5
,2,2,0,1,"Data Analytics, Data Science, English Proficiency (Spoken), Google Analytics, MS-Excel, Machine Learning, Python, SQL, Tableau, Computer Vision, Deep Learning",24,B.Tech,Computer Science & Engineering,2025,,,,,75.0
,3,1,1,2,"Data Structures, Java, LARAVEL, Python, REST API, Spring MVC, C Programming, Deep Learning, MongoDB, SQL, Data Analytics, Django, Machine Learning, Natural Language Processing (NLP), OpenCV, Power BI",24,B.Tech,Computer Science & Engineering,2023,,,,10.00/10.00,87.5
,2,2,0,2,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Git, GitHub, Machine Learning, PostgreSQL, Power BI, Python, SQL, Statistical Modeling, Tableau, Visual Basic (VB)",10,Bachelor of Science (B.Sc),Mathematics,2023,,,91.80/91.80,9.40/9.40,75.0
,2,2,0,1,"Algorithms, C++ Programming, Data Structures, HTML, JavaScript, Machine Learning, Python, CSS, Deep Learning, Node.js, SQL",24,B.Tech,Information Technology,2023,,9.52/10,88.80/88.80,92.30/92.30,87.5
,2,2,2,2,"Neural Networks, Android, C++ Programming, Data Analytics, Data Science, Deep Learning, GitHub, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, SQL, Django, Kotlin, MS-Excel, UI & UX Design",24,B.Tech,Computer Science & Engineering,2024,9.24/10,,93.50/93.50,10.00/10.00,100.0
,3,3,3,2,"C Programming, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Python, Android, C++ Programming, Computer Vision, Deep Learning, Image Processing, Java, OpenCV, SQL, Unity 3D",24,Integrated M.Sc.,Mathematics and Computing,2023,,9.05/10,,,100.0
,3,2,2,2,"C Programming, CSS, HTML, Java, MySQL, PostgreSQL, Python, Tableau, Angular 7.0, Bootstrap, Computer Vision, Data Analytics, Data Structures, Database Management System (DBMS), Deep Learning, Express.js, Flask, JavaScript, MS-Excel, Machine Learning, Natural Language Processing (NLP), Node.js, Power BI, R Programming, Raspberry Pi, SQL, AngularJS, Arduino, Data Science",9,B.Tech,Artificial Intelligence And Machine Learning (cse),2025,,9.60/10,89.60/89.60,95.80/95.80,100.0
,2,2,0,2,"English Proficiency (Spoken), English Proficiency (Written), SQL, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Power BI, Python, R Programming, Research and Analytics, Statistics, Tableau, Hadoop",24,Bachelor of Engineering (B.E),Information Technology,2023,8.55/10,,82.92/82.92,90.40/90.40,100.0
,3,2,0,0,"Data Analytics, Linear Programming, MS-Word, Power BI, Python, SQL, Statistical Modeling, Statistics, AutoCAD, C++ Programming, Database Management System (DBMS), Java, MS-Excel, MS-PowerPoint, Machine Learning, STAAD.Pro, SolidWorks, MATLAB",24,MBA,Operations,2023,8.22/10,8.09/10,88.60/88.60,10.00/10.00,87.5
,2,3,2,1,"Machine Learning, Algorithms, Artificial intelligence, Business Analysis, Data Analytics, Data Science, MongoDB, Natural Language Processing (NLP), Power BI, Python, SQL, Data Structures, Deep Learning, Financial Modeling, GitHub, Google Suite (G Suite), MATLAB, MySQL, NoSQL, R Programming, Statistical Modeling, Tableau",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,7.60/10,78.00/78.00,8.20/8.20,100.0
,2,2,0,0,"Data Science, Machine Learning, Python, Data Analytics, JavaScript, MongoDB, Node.js, ReactJS",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,9.14/10,,,,75.0
,1,1,0,1,"Ethical Hacking, Git, Git Bash, GitHub, HTML, Java, MS-Excel, MySQL, SQL, Cloud Computing, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), JavaScript, Machine Learning, Python, Spring MVC",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2023,,8.20/10,72.00/72.00,65.00/65.00,75.0
,2,2,0,2,"C Programming, C++ Programming, Computer Vision, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Image Processing, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Neural Networks, OpenCV, Python, Research and Analytics, Statistics",24,B.Tech,Computer Science,2025,,,,,100.0
,2,2,2,0,"Email Marketing, MS-Excel, Power BI, Video Editing, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Market Research, Natural Language Processing (NLP), Project Management, Python, SQL, Statistics, Tableau",24,Bachelor of Technology (B.Tech),Electrical Engineering,2020,,70.00/100,6.00/6.00,6.00/6.00,75.0
,2,2,0,0,"JavaScript, ReactJS, Data Science, Machine Learning, Python, SQL",24,Integrated B.Tech,Biochemical Engineering,2025,,,,,75.0
,2,1,0,1,"Mathematics, MySQL, Python, C Programming, C++ Programming, Data Analytics, Data Science, Deep Learning, Kubernetes, Linux, MS-Excel, Machine Learning, Power BI",24,B.Tech,Electrical and Electronics Engineering,2024,,,,,100.0
,2,2,0,2,"CSS, HTML, Computer Vision, Data Science, Deep Learning, Express.js, JavaScript, MEAN/MERN Stack, Machine Learning, MongoDB, Node.js, Python, ReactJS, Django",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,,75.40/75.40,,75.0
,2,1,1,2,"HTML, Bootstrap, C Programming, C++ Programming, CSS, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Express.js, Java, JavaScript, MySQL, Neural Networks, Node.js, Python, SQL, Data Science, Machine Learning, Natural Language Processing (NLP), PHP, jQuery",24,Bachelor of Engineering (B.E),computer science,2023,,9.10/10,98.10/98.10,10.00/10.00,100.0
,2,1,0,0,"C Programming, JavaScript, PHP, Python, Machine Learning, SQL",24,B.Tech,Computer Science & Engineering,2024,,,,,75.0
,2,2,0,0,"C++ Programming, CSS, Java, Golang, HTML, Machine Learning, PHP, Python, WordPress",24,Bachelor of Science (B.Sc),IT,2021,,,,,75.0
,2,2,0,2,"R Programming, C Programming, Data Analytics, Data Science, Deep Learning, Java, JavaScript, Machine Learning, Python, Data Structures, MS-Excel",24,B.Tech,Computer Science & Engineering,2024,3.89/4,,94.20/94.20,96.20/96.20,100.0
,2,2,0,0,"Data Analytics, Data Science, Data Structures, Java, Machine Learning, MySQL, Python, Power BI",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,,8.56/8.56,9.34/9.34,75.0
,3,2,1,0,"JavaScript, Python, Data Science, Machine Learning, OpenCV, PHP, ReactJS, Natural Language Processing (NLP)",24,B.Tech,Computer Science & Engineering,2025,,9.30/10,,,75.0
,3,2,1,2,"Effective Communication, MS-Excel, MS-Office, Python, Adobe Audition, Adobe Dreamweaver, Adobe Illustrator, Business Analysis, Business Research, Data Analytics, Deep Learning, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Enterprise Resource Planning(ERP), Financial literacy, Google AdWords, Google Analytics, Google Cloud Computing, Google Workspace, HTML, Machine Learning, MySQL, Product Management, Project Management, R Programming, Research and Analytics, SQLite, Statistical Modeling, CSS, Data Science, Linux, Natural Language Processing (NLP), SQL",24,Bachelor of Computer Science (B.C.S.),computer science,2023,,,,,100.0
,2,3,1,2,"Computer Vision, Data Analytics, Data Science, Machine Learning, Power BI, SQL, Algorithms, Deep Learning, MS-Excel, Python, Natural Language Processing (NLP)",24,Bachelor of Engineering (B.E),Mechanical Engineering,2024,,7.88/8,,,75.0
,2,2,2,2,"Business Analysis, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Research and Analytics, SQL",24,Bachelor of Science (B.Sc),computer science,2022,,,,,75.0
,2,2,2,2,"Business Analysis, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Natural Language Processing (NLP), Python, Research and Analytics, SQL, Statistics, Time Management, Artificial Intelligence, Database Management System (DBMS), Power BI, Tableau",24,Master of Science (M.Sc),,2021,,,,,75.0
,3,3,3,0,"C Programming, Data Analytics, Machine Learning, Natural Language Processing (NLP), Python, CSS, HTML, SQL",24,B.Tech,,2024,,,83.00/83.00,,87.5
,2,2,2,2,"C Programming, CSS, English Proficiency (Spoken), English Proficiency (Written), MS-PowerPoint, MS-Word, Tamil Proficiency (Spoken), Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, HTML, Java, JavaFX, JavaScript, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Power BI, Python, ReactJS, Research and Analytics, SQL, Tamil Proficiency (Written), Teaching, Computer Vision",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2025,8.30/10,,91.00/91.00,,100.0
,3,3,3,3,"Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Mathematics, Natural Language Processing (NLP), Python, Statistics, Algorithms, Artificial Intelligence, C Programming, Data Structures, MATLAB, MS-Excel, MongoDB, OpenCV, PostgreSQL, SQL, Tableau",24,Integrated B.Tech & M.Tech,Engineering Physics,2025,,8.92/10,72.77/72.77,91.00/91.00,100.0
,2,1,0,1,"Python, Artificial Intelligence, Deep Learning, Machine Learning, R Programming, SQL",24,Bachelor of Engineering (B.E),Artificial Intelligence And Data Science,2024,9.09/10,,98.00/98.00,,75.0
,2,2,1,1,"English Proficiency (Written), Data Analytics, Data Science, English Proficiency (Spoken), MS-Excel, Machine Learning, Python, Research and Analytics, SQL, Deep Learning, Natural Language Processing (NLP), PostgreSQL",24,B.A,,2024,,,78.00/78.00,88.00/88.00,75.0
,3,2,2,2,"Data Analytics, Python, Data Science, Deep Learning, MS-Excel, MS-PowerPoint, Machine Learning, Natural Language Processing (NLP), Statistics, SQL",24,Bachelor of Science (B.Sc) (Hons.),Computer Science,2021,,7.80/10,92.00/92.00,9.20/9.20,75.0
,2,2,0,2,"Bengali Proficiency (Spoken), Bodo Proficiency(Written), Dogri Proficiency(Written), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Amazon Web Services (AWS), Bengali Proficiency (Written), Business Analysis, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, GitHub, Machine Learning, Neural Networks, PostgreSQL, Power BI, Python, SQL, Statistics, Tableau",24,B.Tech,Electrical Engineering,2024,,8.60/10,,,75.0
